Date,Open,High,Low,Close,Adj Close,Volume
2022-02-24,0.999749,1.001582,0.997927,0.999778,0.999778,9044548485
2022-02-25,0.999721,1.001336,0.998333,1.000580,1.000580,5625014132
2022-02-26,1.000571,1.001264,0.998223,1.000422,1.000422,3994663167
2022-02-27,1.000425,1.001730,0.997946,0.999223,0.999223,4655760911
2022-02-28,0.999171,1.001502,0.998120,1.000690,1.000690,6135939226
2022-03-01,1.000664,1.001509,0.998165,1.000331,1.000331,7240470964
2022-03-02,1.000340,1.001405,0.998100,0.999089,0.999089,6024195138
2022-03-03,0.999072,1.001968,0.998427,1.000725,1.000725,5303229077
2022-03-04,1.000769,1.001600,0.998050,1.000315,1.000315,5218220679
2022-03-05,1.000344,1.001477,0.998321,0.999776,0.999776,3256741612
2022-03-06,0.999821,1.001938,0.998749,1.000681,1.000681,3530909004
2022-03-07,1.000669,1.001932,0.998169,0.999291,0.999291,4953274846
2022-03-08,0.999219,1.001774,0.998587,1.000158,1.000158,4610123329
2022-03-09,1.000169,1.001766,0.998253,1.000157,1.000157,6174267011
2022-03-10,1.000150,1.001779,0.998080,0.999169,0.999169,5575929156
2022-03-11,0.999173,1.001595,0.998420,0.999365,0.999365,5387572356
2022-03-12,0.999354,1.001774,0.998614,0.999023,0.999023,3768359315
2022-03-13,0.999053,1.001698,0.998362,1.000319,1.000319,3953028284
2022-03-14,1.000315,1.001482,0.998330,1.000959,1.000959,4673513645
2022-03-15,1.000941,1.001633,0.998138,0.999095,0.999095,4931281604
2022-03-16,0.999096,1.001309,0.998150,0.999472,0.999472,6387029888
2022-03-17,0.999462,1.001242,0.998261,0.999899,0.999899,5312806292
2022-03-18,0.999865,1.001466,0.998511,0.999178,0.999178,6523372608
2022-03-19,0.999137,1.001600,0.998426,1.001020,1.001020,5195729495
2022-03-20,1.001035,1.001546,0.998493,0.999380,0.999380,5103760411
2022-03-21,0.999395,1.001577,0.998054,1.000923,1.000923,5920195296
2022-03-22,1.000905,1.001874,0.998421,1.000331,1.000331,5888237758
2022-03-23,1.000328,1.001756,0.998577,1.000686,1.000686,5781984849
2022-03-24,1.000685,1.001938,0.998382,0.998976,0.998976,6662897462
2022-03-25,0.998979,1.001703,0.998109,1.000900,1.000900,4804152735
2022-03-26,1.000951,1.001797,0.998204,1.001355,1.001355,2998713889
